2020-06-12 17:31:51,114 - INFO - Bert client ready
2020-06-12 17:32:02,649 - ERROR - 5e6bac63e199b15013b5f9d7, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:32:12,661 - ERROR - 5e6bac69e199b15013b5fa62, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:32:22,681 - ERROR - 5e6bac69e199b15013b5fa7d, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:32:32,696 - ERROR - 5e6bac69e199b15013b5fa82, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:32:42,707 - ERROR - 5e6bac6fe199b15013b5fa90, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:32:52,720 - ERROR - 5e6bac6fe199b15013b5fa9e, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:33:02,730 - ERROR - 5e6bac70e199b15013b5faeb, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:33:12,742 - ERROR - 5e6bac73e199b15013b5fb29, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:33:22,753 - ERROR - 5e6bac73e199b15013b5fb2a, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:33:32,767 - ERROR - 5e6bac74e199b15013b5fb7d, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:33:42,778 - ERROR - 5e6bac74e199b15013b5fbae, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:33:52,788 - ERROR - 5e6bac75e199b15013b5fbf5, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:34:02,804 - ERROR - 5e6bac75e199b15013b5fc0e, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:34:12,817 - ERROR - 5e6bac75e199b15013b5fc16, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:34:22,833 - ERROR - 5e6bac75e199b15013b5fc18, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:34:32,846 - ERROR - 5e6bac76e199b15013b5fc5e, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:34:42,857 - ERROR - 5e6bac77e199b15013b5fcce, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:34:52,870 - ERROR - 5e6bac78e199b15013b5fd17, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:35:02,882 - ERROR - 5e6bac78e199b15013b5fd38, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:35:12,891 - ERROR - 5e6bac78e199b15013b5fd44, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:35:22,903 - ERROR - 5e6bac79e199b15013b5fd46, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:35:32,918 - ERROR - 5e6bac79e199b15013b5fd4e, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:35:42,928 - ERROR - 5e6bac7ae199b15013b5fdc6, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:35:52,942 - ERROR - 5e6bac7ae199b15013b5fdd4, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:36:02,954 - ERROR - 5e6bac7ce199b15013b5fe49, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:36:12,970 - ERROR - 5e6bac7de199b15013b5fe77, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:36:22,983 - ERROR - 5e6bac7de199b15013b5fe91, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:36:32,996 - ERROR - 5e6bac7de199b15013b5fecf, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:36:43,005 - ERROR - 5e6bac7ee199b15013b5fefe, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:36:53,015 - ERROR - 5e6bac80e199b15013b5ff4b, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:37:03,031 - ERROR - 5e6bac81e199b15013b5ffa7, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:37:13,044 - ERROR - 5e6bac81e199b15013b5ffaf, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:37:23,060 - ERROR - 5e6bac82e199b15013b6000f, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:37:33,071 - ERROR - 5e6bac82e199b15013b6002d, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:37:43,084 - ERROR - 5e6bac82e199b15013b6003c, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:37:53,092 - ERROR - 5e6bac82e199b15013b60049, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:38:03,105 - ERROR - 5e6bac82e199b15013b6004a, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:38:13,119 - ERROR - 5e6bac82e199b15013b6004b, <class 'ValueError'>, news_analyzer.py, 55
2020-06-12 17:38:23,130 - ERROR - 5e6bac82e199b15013b60052, <class 'ValueError'>, news_analyzer.py, 55
